,diseases,#60-80,FPR_60-80,FNR_60-80,#40-60,FPR_40-60,FNR_40-60,#20-40,FPR_20-40,FNR_20-40,#80+,FPR_80+,FNR_80+,#0-20,FPR_0-20,FNR_0-20
0,Enlarged Cardiomediastinum,2417,0.303,0.089,2417,0.303,0.089,2417,0.303,0.089,2417,0.303,0.089,2417,0.303,0.089
1,Cardiomegaly,3189,0.367,0.083,3189,0.367,0.083,3189,0.367,0.083,3189,0.367,0.083,3189,0.367,0.083
2,Lung Opacity,2141,0.357,0.052,2141,0.357,0.052,2141,0.357,0.052,2141,0.357,0.052,2141,0.357,0.052
3,Lung Lesion,6444,0.092,0.376,6444,0.092,0.376,6444,0.092,0.376,6444,0.092,0.376,6444,0.092,0.376
4,Edema,4170,0.284,0.111,4170,0.284,0.111,4170,0.284,0.111,4170,0.284,0.111,4170,0.284,0.111
5,Consolidation,3689,0.3,0.114,3689,0.3,0.114,3689,0.3,0.114,3689,0.3,0.114,3689,0.3,0.114
6,Pneumonia,5684,0.185,0.296,5684,0.185,0.296,5684,0.185,0.296,5684,0.185,0.296,5684,0.185,0.296
7,Atelectasis,3068,0.336,0.088,3068,0.336,0.088,3068,0.336,0.088,3068,0.336,0.088,3068,0.336,0.088
8,Pneumothorax,6656,0.07,0.376,6656,0.07,0.376,6656,0.07,0.376,6656,0.07,0.376,6656,0.07,0.376
9,Pleural Effusion,3777,0.302,0.113,3777,0.302,0.113,3777,0.302,0.113,3777,0.302,0.113,3777,0.302,0.113
10,Pleural Other,6603,0.089,0.353,6603,0.089,0.353,6603,0.089,0.353,6603,0.089,0.353,6603,0.089,0.353
11,Fracture,5357,0.174,0.234,5357,0.174,0.234,5357,0.174,0.234,5357,0.174,0.234,5357,0.174,0.234
12,Support Devices,2935,0.206,0.062,2935,0.206,0.062,2935,0.206,0.062,2935,0.206,0.062,2935,0.206,0.062
13,No Finding,6526,0.056,0.228,6526,0.056,0.228,6526,0.056,0.228,6526,0.056,0.228,6526,0.056,0.228
