,diseases,#M,FPR_M,FNR_M,#F,FPR_F,FNR_F
0,Enlarged Cardiomediastinum,15560,0.067,0.135,15560,0.067,0.135
1,Cardiomegaly,14524,0.191,0.217,14524,0.191,0.217
2,Lung Opacity,12811,0.185,0.193,12811,0.185,0.193
3,Lung Lesion,21425,0.051,0.453,21425,0.051,0.453
4,Edema,17003,0.127,0.232,17003,0.127,0.232
5,Consolidation,17359,0.087,0.22,17359,0.087,0.22
6,Pneumonia,19696,0.091,0.435,19696,0.091,0.435
7,Atelectasis,14310,0.214,0.196,14310,0.214,0.196
8,Pneumothorax,21537,0.031,0.523,21537,0.031,0.523
9,Pleural Effusion,14967,0.183,0.161,14967,0.183,0.161
10,Pleural Other,21842,0.037,0.426,21842,0.037,0.426
11,Fracture,19960,0.062,0.324,19960,0.062,0.324
12,Support Devices,12440,0.18,0.086,12440,0.18,0.086
13,No Finding,18025,0.108,0.245,18025,0.108,0.245
