,diseases,#M,FPR_M,FNR_M,#F,FPR_F,FNR_F
0,Enlarged Cardiomediastinum,15560,0.068,0.136,15560,0.068,0.136
1,Cardiomegaly,14524,0.181,0.229,14524,0.181,0.229
2,Lung Opacity,12811,0.169,0.209,12811,0.169,0.209
3,Lung Lesion,21425,0.041,0.491,21425,0.041,0.491
4,Edema,17003,0.139,0.214,17003,0.139,0.214
5,Consolidation,17359,0.094,0.21,17359,0.094,0.21
6,Pneumonia,19696,0.08,0.459,19696,0.08,0.459
7,Atelectasis,14310,0.208,0.203,14310,0.208,0.203
8,Pneumothorax,21537,0.046,0.45,21537,0.046,0.45
9,Pleural Effusion,14967,0.192,0.152,14967,0.192,0.152
10,Pleural Other,21842,0.038,0.425,21842,0.038,0.425
11,Fracture,19960,0.07,0.301,19960,0.07,0.301
12,Support Devices,12440,0.179,0.087,12440,0.179,0.087
13,No Finding,18025,0.109,0.246,18025,0.109,0.246
