,diseases,#White,FPR_White,FNR_White,#Black,FPR_Black,FNR_Black,#Hisp,FPR_Hisp,FNR_Hisp,#Other,FPR_Other,FNR_Other,#Asian,FPR_Asian,FNR_Asian,#American,FPR_American,FNR_American
0,Enlarged Cardiomediastinum,18399,0.064,0.152,18399,0.064,0.152,18399,0.064,0.152,18399,0.064,0.152,18399,0.064,0.152,18399,0.064,0.152
1,Cardiomegaly,17245,0.218,0.206,17245,0.218,0.206,17245,0.218,0.206,17245,0.218,0.206,17245,0.218,0.206,17245,0.218,0.206
2,Lung Opacity,15058,0.159,0.234,15058,0.159,0.234,15058,0.159,0.234,15058,0.159,0.234,15058,0.159,0.234,15058,0.159,0.234
3,Lung Lesion,24823,0.04,0.516,24823,0.04,0.516,24823,0.04,0.516,24823,0.04,0.516,24823,0.04,0.516,24823,0.04,0.516
4,Edema,19793,0.125,0.243,19793,0.125,0.243,19793,0.125,0.243,19793,0.125,0.243,19793,0.125,0.243,19793,0.125,0.243
5,Consolidation,20245,0.079,0.215,20245,0.079,0.215,20245,0.079,0.215,20245,0.079,0.215,20245,0.079,0.215,20245,0.079,0.215
6,Pneumonia,22949,0.072,0.489,22949,0.072,0.489,22949,0.072,0.489,22949,0.072,0.489,22949,0.072,0.489,22949,0.072,0.489
7,Atelectasis,16741,0.204,0.209,16741,0.204,0.209,16741,0.204,0.209,16741,0.204,0.209,16741,0.204,0.209,16741,0.204,0.209
8,Pneumothorax,24765,0.041,0.456,24765,0.041,0.456,24765,0.041,0.456,24765,0.041,0.456,24765,0.041,0.456,24765,0.041,0.456
9,Pleural Effusion,17191,0.164,0.187,17191,0.164,0.187,17191,0.164,0.187,17191,0.164,0.187,17191,0.164,0.187,17191,0.164,0.187
10,Pleural Other,25409,0.039,0.427,25409,0.039,0.427,25409,0.039,0.427,25409,0.039,0.427,25409,0.039,0.427,25409,0.039,0.427
11,Fracture,23145,0.069,0.307,23145,0.069,0.307,23145,0.069,0.307,23145,0.069,0.307,23145,0.069,0.307,23145,0.069,0.307
12,Support Devices,14693,0.182,0.085,14693,0.182,0.085,14693,0.182,0.085,14693,0.182,0.085,14693,0.182,0.085,14693,0.182,0.085
13,No Finding,20900,0.109,0.251,20900,0.109,0.251,20900,0.109,0.251,20900,0.109,0.251,20900,0.109,0.251,20900,0.109,0.251
