,diseases,#60-80,FPR_60-80,FNR_60-80,#40-60,FPR_40-60,FNR_40-60,#20-40,FPR_20-40,FNR_20-40,#80+,FPR_80+,FNR_80+,#0-20,FPR_0-20,FNR_0-20
0,Enlarged Cardiomediastinum,2417,0.321,0.082,2417,0.321,0.082,2417,0.321,0.082,2417,0.321,0.082,2417,0.321,0.082
1,Cardiomegaly,3189,0.384,0.074,3189,0.384,0.074,3189,0.384,0.074,3189,0.384,0.074,3189,0.384,0.074
2,Lung Opacity,2141,0.338,0.053,2141,0.338,0.053,2141,0.338,0.053,2141,0.338,0.053,2141,0.338,0.053
3,Lung Lesion,6444,0.102,0.361,6444,0.102,0.361,6444,0.102,0.361,6444,0.102,0.361,6444,0.102,0.361
4,Edema,4170,0.26,0.128,4170,0.26,0.128,4170,0.26,0.128,4170,0.26,0.128,4170,0.26,0.128
5,Consolidation,3689,0.27,0.134,3689,0.27,0.134,3689,0.27,0.134,3689,0.27,0.134,3689,0.27,0.134
6,Pneumonia,5684,0.174,0.307,5684,0.174,0.307,5684,0.174,0.307,5684,0.174,0.307,5684,0.174,0.307
7,Atelectasis,3068,0.362,0.081,3068,0.362,0.081,3068,0.362,0.081,3068,0.362,0.081,3068,0.362,0.081
8,Pneumothorax,6656,0.063,0.396,6656,0.063,0.396,6656,0.063,0.396,6656,0.063,0.396,6656,0.063,0.396
9,Pleural Effusion,3777,0.252,0.137,3777,0.252,0.137,3777,0.252,0.137,3777,0.252,0.137,3777,0.252,0.137
10,Pleural Other,6603,0.085,0.365,6603,0.085,0.365,6603,0.085,0.365,6603,0.085,0.365,6603,0.085,0.365
11,Fracture,5357,0.167,0.232,5357,0.167,0.232,5357,0.167,0.232,5357,0.167,0.232,5357,0.167,0.232
12,Support Devices,2935,0.202,0.062,2935,0.202,0.062,2935,0.202,0.062,2935,0.202,0.062,2935,0.202,0.062
13,No Finding,6526,0.061,0.234,6526,0.061,0.234,6526,0.061,0.234,6526,0.061,0.234,6526,0.061,0.234
