,diseases,#60-80,FPR_60-80,FNR_60-80,#40-60,FPR_40-60,FNR_40-60,#20-40,FPR_20-40,FNR_20-40,#80+,FPR_80+,FNR_80+,#0-20,FPR_0-20,FNR_0-20
0,Enlarged Cardiomediastinum,2417,0.302,0.087,2417,0.302,0.087,2417,0.302,0.087,2417,0.302,0.087,2417,0.302,0.087
1,Cardiomegaly,3189,0.337,0.095,3189,0.337,0.095,3189,0.337,0.095,3189,0.337,0.095,3189,0.337,0.095
2,Lung Opacity,2141,0.332,0.058,2141,0.332,0.058,2141,0.332,0.058,2141,0.332,0.058,2141,0.332,0.058
3,Lung Lesion,6444,0.101,0.361,6444,0.101,0.361,6444,0.101,0.361,6444,0.101,0.361,6444,0.101,0.361
4,Edema,4170,0.234,0.149,4170,0.234,0.149,4170,0.234,0.149,4170,0.234,0.149,4170,0.234,0.149
5,Consolidation,3689,0.275,0.126,3689,0.275,0.126,3689,0.275,0.126,3689,0.275,0.126,3689,0.275,0.126
6,Pneumonia,5684,0.193,0.286,5684,0.193,0.286,5684,0.193,0.286,5684,0.193,0.286,5684,0.193,0.286
7,Atelectasis,3068,0.339,0.086,3068,0.339,0.086,3068,0.339,0.086,3068,0.339,0.086,3068,0.339,0.086
8,Pneumothorax,6656,0.052,0.444,6656,0.052,0.444,6656,0.052,0.444,6656,0.052,0.444,6656,0.052,0.444
9,Pleural Effusion,3777,0.278,0.121,3777,0.278,0.121,3777,0.278,0.121,3777,0.278,0.121,3777,0.278,0.121
10,Pleural Other,6603,0.084,0.348,6603,0.084,0.348,6603,0.084,0.348,6603,0.084,0.348,6603,0.084,0.348
11,Fracture,5357,0.151,0.258,5357,0.151,0.258,5357,0.151,0.258,5357,0.151,0.258,5357,0.151,0.258
12,Support Devices,2935,0.189,0.07,2935,0.189,0.07,2935,0.189,0.07,2935,0.189,0.07,2935,0.189,0.07
13,No Finding,6526,0.068,0.188,6526,0.068,0.188,6526,0.068,0.188,6526,0.068,0.188,6526,0.068,0.188
