,diseases,#White,FPR_White,FNR_White,#Black,FPR_Black,FNR_Black,#Hisp,FPR_Hisp,FNR_Hisp,#Other,FPR_Other,FNR_Other,#Asian,FPR_Asian,FNR_Asian,#American,FPR_American,FNR_American
0,Enlarged Cardiomediastinum,18399,0.073,0.137,18399,0.073,0.137,18399,0.073,0.137,18399,0.073,0.137,18399,0.073,0.137,18399,0.073,0.137
1,Cardiomegaly,17245,0.224,0.202,17245,0.224,0.202,17245,0.224,0.202,17245,0.224,0.202,17245,0.224,0.202,17245,0.224,0.202
2,Lung Opacity,15058,0.169,0.225,15058,0.169,0.225,15058,0.169,0.225,15058,0.169,0.225,15058,0.169,0.225,15058,0.169,0.225
3,Lung Lesion,24823,0.046,0.494,24823,0.046,0.494,24823,0.046,0.494,24823,0.046,0.494,24823,0.046,0.494,24823,0.046,0.494
4,Edema,19793,0.14,0.219,19793,0.14,0.219,19793,0.14,0.219,19793,0.14,0.219,19793,0.14,0.219,19793,0.14,0.219
5,Consolidation,20245,0.089,0.199,20245,0.089,0.199,20245,0.089,0.199,20245,0.089,0.199,20245,0.089,0.199,20245,0.089,0.199
6,Pneumonia,22949,0.084,0.461,22949,0.084,0.461,22949,0.084,0.461,22949,0.084,0.461,22949,0.084,0.461,22949,0.084,0.461
7,Atelectasis,16741,0.216,0.194,16741,0.216,0.194,16741,0.216,0.194,16741,0.216,0.194,16741,0.216,0.194,16741,0.216,0.194
8,Pneumothorax,24765,0.036,0.477,24765,0.036,0.477,24765,0.036,0.477,24765,0.036,0.477,24765,0.036,0.477,24765,0.036,0.477
9,Pleural Effusion,17191,0.189,0.156,17191,0.189,0.156,17191,0.189,0.156,17191,0.189,0.156,17191,0.189,0.156,17191,0.189,0.156
10,Pleural Other,25409,0.04,0.421,25409,0.04,0.421,25409,0.04,0.421,25409,0.04,0.421,25409,0.04,0.421,25409,0.04,0.421
11,Fracture,23145,0.063,0.323,23145,0.063,0.323,23145,0.063,0.323,23145,0.063,0.323,23145,0.063,0.323,23145,0.063,0.323
12,Support Devices,14693,0.174,0.091,14693,0.174,0.091,14693,0.174,0.091,14693,0.174,0.091,14693,0.174,0.091,14693,0.174,0.091
13,No Finding,20900,0.116,0.246,20900,0.116,0.246,20900,0.116,0.246,20900,0.116,0.246,20900,0.116,0.246,20900,0.116,0.246
