,diseases,#White,FPR_White,FNR_White,#Black,FPR_Black,FNR_Black,#Hisp,FPR_Hisp,FNR_Hisp,#Other,FPR_Other,FNR_Other,#Asian,FPR_Asian,FNR_Asian,#American,FPR_American,FNR_American
0,Enlarged Cardiomediastinum,18399,0.066,0.15,18399,0.066,0.15,18399,0.066,0.15,18399,0.066,0.15,18399,0.066,0.15,18399,0.066,0.15
1,Cardiomegaly,17245,0.179,0.247,17245,0.179,0.247,17245,0.179,0.247,17245,0.179,0.247,17245,0.179,0.247,17245,0.179,0.247
2,Lung Opacity,15058,0.169,0.227,15058,0.169,0.227,15058,0.169,0.227,15058,0.169,0.227,15058,0.169,0.227,15058,0.169,0.227
3,Lung Lesion,24823,0.039,0.525,24823,0.039,0.525,24823,0.039,0.525,24823,0.039,0.525,24823,0.039,0.525,24823,0.039,0.525
4,Edema,19793,0.141,0.221,19793,0.141,0.221,19793,0.141,0.221,19793,0.141,0.221,19793,0.141,0.221,19793,0.141,0.221
5,Consolidation,20245,0.087,0.205,20245,0.087,0.205,20245,0.087,0.205,20245,0.087,0.205,20245,0.087,0.205,20245,0.087,0.205
6,Pneumonia,22949,0.077,0.481,22949,0.077,0.481,22949,0.077,0.481,22949,0.077,0.481,22949,0.077,0.481,22949,0.077,0.481
7,Atelectasis,16741,0.2,0.215,16741,0.2,0.215,16741,0.2,0.215,16741,0.2,0.215,16741,0.2,0.215,16741,0.2,0.215
8,Pneumothorax,24765,0.045,0.438,24765,0.045,0.438,24765,0.045,0.438,24765,0.045,0.438,24765,0.045,0.438,24765,0.045,0.438
9,Pleural Effusion,17191,0.195,0.153,17191,0.195,0.153,17191,0.195,0.153,17191,0.195,0.153,17191,0.195,0.153,17191,0.195,0.153
10,Pleural Other,25409,0.035,0.447,25409,0.035,0.447,25409,0.035,0.447,25409,0.035,0.447,25409,0.035,0.447,25409,0.035,0.447
11,Fracture,23145,0.067,0.319,23145,0.067,0.319,23145,0.067,0.319,23145,0.067,0.319,23145,0.067,0.319,23145,0.067,0.319
12,Support Devices,14693,0.173,0.091,14693,0.173,0.091,14693,0.173,0.091,14693,0.173,0.091,14693,0.173,0.091,14693,0.173,0.091
13,No Finding,20900,0.114,0.247,20900,0.114,0.247,20900,0.114,0.247,20900,0.114,0.247,20900,0.114,0.247,20900,0.114,0.247
