,diseases,#White,FPR_White,FNR_White,#Black,FPR_Black,FNR_Black,#Hisp,FPR_Hisp,FNR_Hisp,#Other,FPR_Other,FNR_Other,#Asian,FPR_Asian,FNR_Asian,#American,FPR_American,FNR_American
0,Enlarged Cardiomediastinum,18399,0.066,0.15,18399,0.066,0.15,18399,0.066,0.15,18399,0.066,0.15,18399,0.066,0.15,18399,0.066,0.15
1,Cardiomegaly,17245,0.191,0.233,17245,0.191,0.233,17245,0.191,0.233,17245,0.191,0.233,17245,0.191,0.233,17245,0.191,0.233
2,Lung Opacity,15058,0.186,0.212,15058,0.186,0.212,15058,0.186,0.212,15058,0.186,0.212,15058,0.186,0.212,15058,0.186,0.212
3,Lung Lesion,24823,0.049,0.49,24823,0.049,0.49,24823,0.049,0.49,24823,0.049,0.49,24823,0.049,0.49,24823,0.049,0.49
4,Edema,19793,0.129,0.238,19793,0.129,0.238,19793,0.129,0.238,19793,0.129,0.238,19793,0.129,0.238,19793,0.129,0.238
5,Consolidation,20245,0.08,0.22,20245,0.08,0.22,20245,0.08,0.22,20245,0.08,0.22,20245,0.08,0.22,20245,0.08,0.22
6,Pneumonia,22949,0.085,0.462,22949,0.085,0.462,22949,0.085,0.462,22949,0.085,0.462,22949,0.085,0.462,22949,0.085,0.462
7,Atelectasis,16741,0.206,0.209,16741,0.206,0.209,16741,0.206,0.209,16741,0.206,0.209,16741,0.206,0.209,16741,0.206,0.209
8,Pneumothorax,24765,0.03,0.519,24765,0.03,0.519,24765,0.03,0.519,24765,0.03,0.519,24765,0.03,0.519,24765,0.03,0.519
9,Pleural Effusion,17191,0.182,0.163,17191,0.182,0.163,17191,0.182,0.163,17191,0.182,0.163,17191,0.182,0.163,17191,0.182,0.163
10,Pleural Other,25409,0.034,0.448,25409,0.034,0.448,25409,0.034,0.448,25409,0.034,0.448,25409,0.034,0.448,25409,0.034,0.448
11,Fracture,23145,0.058,0.337,23145,0.058,0.337,23145,0.058,0.337,23145,0.058,0.337,23145,0.058,0.337,23145,0.058,0.337
12,Support Devices,14693,0.173,0.091,14693,0.173,0.091,14693,0.173,0.091,14693,0.173,0.091,14693,0.173,0.091,14693,0.173,0.091
13,No Finding,20900,0.112,0.25,20900,0.112,0.25,20900,0.112,0.25,20900,0.112,0.25,20900,0.112,0.25,20900,0.112,0.25
