,diseases,#60-80,FPR_60-80,FNR_60-80,#40-60,FPR_40-60,FNR_40-60,#20-40,FPR_20-40,FNR_20-40,#80+,FPR_80+,FNR_80+,#0-20,FPR_0-20,FNR_0-20
0,Enlarged Cardiomediastinum,2417,0.289,0.09,2417,0.289,0.09,2417,0.289,0.09,2417,0.289,0.09,2417,0.289,0.09
1,Cardiomegaly,3189,0.308,0.106,3189,0.308,0.106,3189,0.308,0.106,3189,0.308,0.106,3189,0.308,0.106
2,Lung Opacity,2141,0.271,0.076,2141,0.271,0.076,2141,0.271,0.076,2141,0.271,0.076,2141,0.271,0.076
3,Lung Lesion,6444,0.085,0.396,6444,0.085,0.396,6444,0.085,0.396,6444,0.085,0.396,6444,0.085,0.396
4,Edema,4170,0.22,0.157,4170,0.22,0.157,4170,0.22,0.157,4170,0.22,0.157,4170,0.22,0.157
5,Consolidation,3689,0.29,0.116,3689,0.29,0.116,3689,0.29,0.116,3689,0.29,0.116,3689,0.29,0.116
6,Pneumonia,5684,0.128,0.369,5684,0.128,0.369,5684,0.128,0.369,5684,0.128,0.369,5684,0.128,0.369
7,Atelectasis,3068,0.258,0.126,3068,0.258,0.126,3068,0.258,0.126,3068,0.258,0.126,3068,0.258,0.126
8,Pneumothorax,6656,0.054,0.42,6656,0.054,0.42,6656,0.054,0.42,6656,0.054,0.42,6656,0.054,0.42
9,Pleural Effusion,3777,0.275,0.116,3777,0.275,0.116,3777,0.275,0.116,3777,0.275,0.116,3777,0.275,0.116
10,Pleural Other,6603,0.073,0.375,6603,0.073,0.375,6603,0.073,0.375,6603,0.073,0.375,6603,0.073,0.375
11,Fracture,5357,0.129,0.282,5357,0.129,0.282,5357,0.129,0.282,5357,0.129,0.282,5357,0.129,0.282
12,Support Devices,2935,0.192,0.063,2935,0.192,0.063,2935,0.192,0.063,2935,0.192,0.063,2935,0.192,0.063
13,No Finding,6526,0.059,0.217,6526,0.059,0.217,6526,0.059,0.217,6526,0.059,0.217,6526,0.059,0.217
