,diseases,#60-80,FPR_60-80,FNR_60-80,#40-60,FPR_40-60,FNR_40-60,#20-40,FPR_20-40,FNR_20-40,#80+,FPR_80+,FNR_80+,#0-20,FPR_0-20,FNR_0-20
0,Enlarged Cardiomediastinum,2417,0.281,0.094,2417,0.281,0.094,2417,0.281,0.094,2417,0.281,0.094,2417,0.281,0.094
1,Cardiomegaly,3189,0.305,0.109,3189,0.305,0.109,3189,0.305,0.109,3189,0.305,0.109,3189,0.305,0.109
2,Lung Opacity,2141,0.262,0.08,2141,0.262,0.08,2141,0.262,0.08,2141,0.262,0.08,2141,0.262,0.08
3,Lung Lesion,6444,0.089,0.383,6444,0.089,0.383,6444,0.089,0.383,6444,0.089,0.383,6444,0.089,0.383
4,Edema,4170,0.236,0.147,4170,0.236,0.147,4170,0.236,0.147,4170,0.236,0.147,4170,0.236,0.147
5,Consolidation,3689,0.267,0.127,3689,0.267,0.127,3689,0.267,0.127,3689,0.267,0.127,3689,0.267,0.127
6,Pneumonia,5684,0.138,0.35,5684,0.138,0.35,5684,0.138,0.35,5684,0.138,0.35,5684,0.138,0.35
7,Atelectasis,3068,0.278,0.111,3068,0.278,0.111,3068,0.278,0.111,3068,0.278,0.111,3068,0.278,0.111
8,Pneumothorax,6656,0.04,0.47,6656,0.04,0.47,6656,0.04,0.47,6656,0.04,0.47,6656,0.04,0.47
9,Pleural Effusion,3777,0.249,0.141,3777,0.249,0.141,3777,0.249,0.141,3777,0.249,0.141,3777,0.249,0.141
10,Pleural Other,6603,0.085,0.341,6603,0.085,0.341,6603,0.085,0.341,6603,0.085,0.341,6603,0.085,0.341
11,Fracture,5357,0.16,0.235,5357,0.16,0.235,5357,0.16,0.235,5357,0.16,0.235,5357,0.16,0.235
12,Support Devices,2935,0.206,0.057,2935,0.206,0.057,2935,0.206,0.057,2935,0.206,0.057,2935,0.206,0.057
13,No Finding,6526,0.055,0.23,6526,0.055,0.23,6526,0.055,0.23,6526,0.055,0.23,6526,0.055,0.23
