,diseases,#M,FPR_M,FNR_M,#F,FPR_F,FNR_F
0,Enlarged Cardiomediastinum,4069,0.237,0.092,4069,0.237,0.092
1,Cardiomegaly,5162,0.257,0.106,5162,0.257,0.106
2,Lung Opacity,3715,0.231,0.085,3715,0.231,0.085
3,Lung Lesion,9809,0.083,0.405,9809,0.083,0.405
4,Edema,6635,0.207,0.145,6635,0.207,0.145
5,Consolidation,6067,0.238,0.137,6067,0.238,0.137
6,Pneumonia,8742,0.124,0.343,8742,0.124,0.343
7,Atelectasis,5099,0.242,0.119,5099,0.242,0.119
8,Pneumothorax,10218,0.037,0.491,10218,0.037,0.491
9,Pleural Effusion,6161,0.214,0.147,6161,0.214,0.147
10,Pleural Other,10055,0.078,0.365,10055,0.078,0.365
11,Fracture,8286,0.15,0.263,8286,0.15,0.263
12,Support Devices,4472,0.206,0.066,4472,0.206,0.066
13,No Finding,9579,0.057,0.198,9579,0.057,0.198
