,diseases,#M,FPR_M,FNR_M,#F,FPR_F,FNR_F
0,Enlarged Cardiomediastinum,4069,0.252,0.087,4069,0.252,0.087
1,Cardiomegaly,5162,0.27,0.103,5162,0.27,0.103
2,Lung Opacity,3715,0.236,0.08,3715,0.236,0.08
3,Lung Lesion,9809,0.079,0.414,9809,0.079,0.414
4,Edema,6635,0.194,0.155,6635,0.194,0.155
5,Consolidation,6067,0.255,0.124,6067,0.255,0.124
6,Pneumonia,8742,0.115,0.367,8742,0.115,0.367
7,Atelectasis,5099,0.224,0.136,5099,0.224,0.136
8,Pneumothorax,10218,0.049,0.439,10218,0.049,0.439
9,Pleural Effusion,6161,0.24,0.122,6161,0.24,0.122
10,Pleural Other,10055,0.067,0.393,10055,0.067,0.393
11,Fracture,8286,0.123,0.305,8286,0.123,0.305
12,Support Devices,4472,0.193,0.073,4472,0.193,0.073
13,No Finding,9579,0.059,0.184,9579,0.059,0.184
