,diseases,#White,FPR_White,FNR_White,#Black,FPR_Black,FNR_Black,#Hisp,FPR_Hisp,FNR_Hisp,#Other,FPR_Other,FNR_Other,#Asian,FPR_Asian,FNR_Asian,#American,FPR_American,FNR_American
0,Enlarged Cardiomediastinum,4434,0.266,0.095,4434,0.266,0.095,4434,0.266,0.095,4434,0.266,0.095,4434,0.266,0.095,4434,0.266,0.095
1,Cardiomegaly,5709,0.282,0.105,5709,0.282,0.105,5709,0.282,0.105,5709,0.282,0.105,5709,0.282,0.105,5709,0.282,0.105
2,Lung Opacity,3995,0.213,0.103,3995,0.213,0.103,3995,0.213,0.103,3995,0.213,0.103,3995,0.213,0.103,3995,0.213,0.103
3,Lung Lesion,10766,0.076,0.428,10766,0.076,0.428,10766,0.076,0.428,10766,0.076,0.428,10766,0.076,0.428,10766,0.076,0.428
4,Edema,7250,0.233,0.139,7250,0.233,0.139,7250,0.233,0.139,7250,0.233,0.139,7250,0.233,0.139,7250,0.233,0.139
5,Consolidation,6437,0.241,0.132,6437,0.241,0.132,6437,0.241,0.132,6437,0.241,0.132,6437,0.241,0.132,6437,0.241,0.132
6,Pneumonia,9537,0.139,0.35,9537,0.139,0.35,9537,0.139,0.35,9537,0.139,0.35,9537,0.139,0.35,9537,0.139,0.35
7,Atelectasis,5493,0.246,0.118,5493,0.246,0.118,5493,0.246,0.118,5493,0.246,0.118,5493,0.246,0.118,5493,0.246,0.118
8,Pneumothorax,10978,0.055,0.413,10978,0.055,0.413,10978,0.055,0.413,10978,0.055,0.413,10978,0.055,0.413,10978,0.055,0.413
9,Pleural Effusion,6626,0.217,0.146,6626,0.217,0.146,6626,0.217,0.146,6626,0.217,0.146,6626,0.217,0.146,6626,0.217,0.146
10,Pleural Other,11034,0.08,0.388,11034,0.08,0.388,11034,0.08,0.388,11034,0.08,0.388,11034,0.08,0.388,11034,0.08,0.388
11,Fracture,8964,0.155,0.26,8964,0.155,0.26,8964,0.155,0.26,8964,0.155,0.26,8964,0.155,0.26,8964,0.155,0.26
12,Support Devices,4807,0.181,0.078,4807,0.181,0.078,4807,0.181,0.078,4807,0.181,0.078,4807,0.181,0.078,4807,0.181,0.078
13,No Finding,10621,0.066,0.209,10621,0.066,0.209,10621,0.066,0.209,10621,0.066,0.209,10621,0.066,0.209,10621,0.066,0.209
