,diseases,#White,FPR_White,FNR_White,#Black,FPR_Black,FNR_Black,#Hisp,FPR_Hisp,FNR_Hisp,#Other,FPR_Other,FNR_Other,#Asian,FPR_Asian,FNR_Asian,#American,FPR_American,FNR_American
0,Enlarged Cardiomediastinum,4434,0.274,0.088,4434,0.274,0.088,4434,0.274,0.088,4434,0.274,0.088,4434,0.274,0.088,4434,0.274,0.088
1,Cardiomegaly,5709,0.275,0.108,5709,0.275,0.108,5709,0.275,0.108,5709,0.275,0.108,5709,0.275,0.108,5709,0.275,0.108
2,Lung Opacity,3995,0.234,0.092,3995,0.234,0.092,3995,0.234,0.092,3995,0.234,0.092,3995,0.234,0.092,3995,0.234,0.092
3,Lung Lesion,10766,0.106,0.369,10766,0.106,0.369,10766,0.106,0.369,10766,0.106,0.369,10766,0.106,0.369,10766,0.106,0.369
4,Edema,7250,0.199,0.167,7250,0.199,0.167,7250,0.199,0.167,7250,0.199,0.167,7250,0.199,0.167,7250,0.199,0.167
5,Consolidation,6437,0.234,0.135,6437,0.234,0.135,6437,0.234,0.135,6437,0.234,0.135,6437,0.234,0.135,6437,0.234,0.135
6,Pneumonia,9537,0.144,0.34,9537,0.144,0.34,9537,0.144,0.34,9537,0.144,0.34,9537,0.144,0.34,9537,0.144,0.34
7,Atelectasis,5493,0.254,0.116,5493,0.254,0.116,5493,0.254,0.116,5493,0.254,0.116,5493,0.254,0.116,5493,0.254,0.116
8,Pneumothorax,10978,0.052,0.428,10978,0.052,0.428,10978,0.052,0.428,10978,0.052,0.428,10978,0.052,0.428,10978,0.052,0.428
9,Pleural Effusion,6626,0.224,0.132,6626,0.224,0.132,6626,0.224,0.132,6626,0.224,0.132,6626,0.224,0.132,6626,0.224,0.132
10,Pleural Other,11034,0.063,0.446,11034,0.063,0.446,11034,0.063,0.446,11034,0.063,0.446,11034,0.063,0.446,11034,0.063,0.446
11,Fracture,8964,0.138,0.29,8964,0.138,0.29,8964,0.138,0.29,8964,0.138,0.29,8964,0.138,0.29,8964,0.138,0.29
12,Support Devices,4807,0.196,0.071,4807,0.196,0.071,4807,0.196,0.071,4807,0.196,0.071,4807,0.196,0.071,4807,0.196,0.071
13,No Finding,10621,0.054,0.244,10621,0.054,0.244,10621,0.054,0.244,10621,0.054,0.244,10621,0.054,0.244,10621,0.054,0.244
