,diseases,#60-80,FPR_60-80,FNR_60-80,#40-60,FPR_40-60,FNR_40-60,#20-40,FPR_20-40,FNR_20-40,#80+,FPR_80+,FNR_80+,#0-20,FPR_0-20,FNR_0-20
0,Enlarged Cardiomediastinum,2417,0.29,0.091,2417,0.29,0.091,2417,0.29,0.091,2417,0.29,0.091,2417,0.29,0.091
1,Cardiomegaly,3189,0.31,0.104,3189,0.31,0.104,3189,0.31,0.104,3189,0.31,0.104,3189,0.31,0.104
2,Lung Opacity,2141,0.227,0.093,2141,0.227,0.093,2141,0.227,0.093,2141,0.227,0.093,2141,0.227,0.093
3,Lung Lesion,6444,0.082,0.405,6444,0.082,0.405,6444,0.082,0.405,6444,0.082,0.405,6444,0.082,0.405
4,Edema,4170,0.249,0.137,4170,0.249,0.137,4170,0.249,0.137,4170,0.249,0.137,4170,0.249,0.137
5,Consolidation,3689,0.268,0.13,3689,0.268,0.13,3689,0.268,0.13,3689,0.268,0.13,3689,0.268,0.13
6,Pneumonia,5684,0.145,0.338,5684,0.145,0.338,5684,0.145,0.338,5684,0.145,0.338,5684,0.145,0.338
7,Atelectasis,3068,0.272,0.116,3068,0.272,0.116,3068,0.272,0.116,3068,0.272,0.116,3068,0.272,0.116
8,Pneumothorax,6656,0.056,0.418,6656,0.056,0.418,6656,0.056,0.418,6656,0.056,0.418,6656,0.056,0.418
9,Pleural Effusion,3777,0.239,0.147,3777,0.239,0.147,3777,0.239,0.147,3777,0.239,0.147,3777,0.239,0.147
10,Pleural Other,6603,0.084,0.341,6603,0.084,0.341,6603,0.084,0.341,6603,0.084,0.341,6603,0.084,0.341
11,Fracture,5357,0.155,0.24,5357,0.155,0.24,5357,0.155,0.24,5357,0.155,0.24,5357,0.155,0.24
12,Support Devices,2935,0.185,0.072,2935,0.185,0.072,2935,0.185,0.072,2935,0.185,0.072,2935,0.185,0.072
13,No Finding,6526,0.062,0.205,6526,0.062,0.205,6526,0.062,0.205,6526,0.062,0.205,6526,0.062,0.205
