,diseases,#M,FPR_M,FNR_M,#F,FPR_F,FNR_F
0,Enlarged Cardiomediastinum,15560,0.072,0.133,15560,0.072,0.133
1,Cardiomegaly,14524,0.211,0.205,14524,0.211,0.205
2,Lung Opacity,12811,0.166,0.227,12811,0.166,0.227
3,Lung Lesion,21425,0.044,0.515,21425,0.044,0.515
4,Edema,17003,0.127,0.242,17003,0.127,0.242
5,Consolidation,17359,0.084,0.229,17359,0.084,0.229
6,Pneumonia,19696,0.09,0.46,19696,0.09,0.46
7,Atelectasis,14310,0.181,0.23,14310,0.181,0.23
8,Pneumothorax,21537,0.049,0.552,21537,0.049,0.552
9,Pleural Effusion,14967,0.177,0.183,14967,0.177,0.183
10,Pleural Other,21842,0.04,0.444,21842,0.04,0.444
11,Fracture,19960,0.067,0.35,19960,0.067,0.35
12,Support Devices,12440,0.193,0.145,12440,0.193,0.145
13,No Finding,18025,0.12,0.272,18025,0.12,0.272
