,diseases,#White,FPR_White,FNR_White,#Black,FPR_Black,FNR_Black,#Hisp,FPR_Hisp,FNR_Hisp,#Other,FPR_Other,FNR_Other,#Asian,FPR_Asian,FNR_Asian,#American,FPR_American,FNR_American
0,Enlarged Cardiomediastinum,18399,0.064,0.146,18399,0.064,0.146,18399,0.064,0.146,18399,0.064,0.146,18399,0.064,0.146,18399,0.064,0.146
1,Cardiomegaly,17245,0.177,0.23,17245,0.177,0.23,17245,0.177,0.23,17245,0.177,0.23,17245,0.177,0.23,17245,0.177,0.23
2,Lung Opacity,15058,0.177,0.211,15058,0.177,0.211,15058,0.177,0.211,15058,0.177,0.211,15058,0.177,0.211,15058,0.177,0.211
3,Lung Lesion,24823,0.049,0.455,24823,0.049,0.455,24823,0.049,0.455,24823,0.049,0.455,24823,0.049,0.455,24823,0.049,0.455
4,Edema,19793,0.144,0.217,19793,0.144,0.217,19793,0.144,0.217,19793,0.144,0.217,19793,0.144,0.217,19793,0.144,0.217
5,Consolidation,20245,0.077,0.201,20245,0.077,0.201,20245,0.077,0.201,20245,0.077,0.201,20245,0.077,0.201,20245,0.077,0.201
6,Pneumonia,22949,0.075,0.456,22949,0.075,0.456,22949,0.075,0.456,22949,0.075,0.456,22949,0.075,0.456,22949,0.075,0.456
7,Atelectasis,16741,0.185,0.217,16741,0.185,0.217,16741,0.185,0.217,16741,0.185,0.217,16741,0.185,0.217,16741,0.185,0.217
8,Pneumothorax,24765,0.039,0.47,24765,0.039,0.47,24765,0.039,0.47,24765,0.039,0.47,24765,0.039,0.47,24765,0.039,0.47
9,Pleural Effusion,17191,0.166,0.167,17191,0.166,0.167,17191,0.166,0.167,17191,0.166,0.167,17191,0.166,0.167,17191,0.166,0.167
10,Pleural Other,25409,0.028,0.466,25409,0.028,0.466,25409,0.028,0.466,25409,0.028,0.466,25409,0.028,0.466,25409,0.028,0.466
11,Fracture,23145,0.048,0.361,23145,0.048,0.361,23145,0.048,0.361,23145,0.048,0.361,23145,0.048,0.361,23145,0.048,0.361
12,Support Devices,14693,0.191,0.099,14693,0.191,0.099,14693,0.191,0.099,14693,0.191,0.099,14693,0.191,0.099,14693,0.191,0.099
13,No Finding,20900,0.129,0.219,20900,0.129,0.219,20900,0.129,0.219,20900,0.129,0.219,20900,0.129,0.219,20900,0.129,0.219
