,diseases,#M,FPR_M,FNR_M,#F,FPR_F,FNR_F
0,Enlarged Cardiomediastinum,15560,0.063,0.141,15560,0.063,0.141
1,Cardiomegaly,14524,0.167,0.233,14524,0.167,0.233
2,Lung Opacity,12811,0.163,0.211,12811,0.163,0.211
3,Lung Lesion,21425,0.04,0.47,21425,0.04,0.47
4,Edema,17003,0.12,0.251,17003,0.12,0.251
5,Consolidation,17359,0.086,0.21,17359,0.086,0.21
6,Pneumonia,19696,0.076,0.463,19696,0.076,0.463
7,Atelectasis,14310,0.164,0.239,14310,0.164,0.239
8,Pneumothorax,21537,0.037,0.495,21537,0.037,0.495
9,Pleural Effusion,14967,0.165,0.169,14967,0.165,0.169
10,Pleural Other,21842,0.034,0.437,21842,0.034,0.437
11,Fracture,19960,0.062,0.341,19960,0.062,0.341
12,Support Devices,12440,0.191,0.108,12440,0.191,0.108
13,No Finding,18025,0.107,0.251,18025,0.107,0.251
