,diseases,#60-80,FPR_60-80,FNR_60-80,#40-60,FPR_40-60,FNR_40-60,#20-40,FPR_20-40,FNR_20-40,#80+,FPR_80+,FNR_80+,#0-20,FPR_0-20,FNR_0-20
0,Enlarged Cardiomediastinum,2417,0.285,0.091,2417,0.285,0.091,2417,0.285,0.091,2417,0.285,0.091,2417,0.285,0.091
1,Cardiomegaly,3189,0.346,0.084,3189,0.346,0.084,3189,0.346,0.084,3189,0.346,0.084,3189,0.346,0.084
2,Lung Opacity,2141,0.311,0.061,2141,0.311,0.061,2141,0.311,0.061,2141,0.311,0.061,2141,0.311,0.061
3,Lung Lesion,6444,0.09,0.388,6444,0.09,0.388,6444,0.09,0.388,6444,0.09,0.388,6444,0.09,0.388
4,Edema,4170,0.276,0.116,4170,0.276,0.116,4170,0.276,0.116,4170,0.276,0.116,4170,0.276,0.116
5,Consolidation,3689,0.274,0.106,3689,0.274,0.106,3689,0.274,0.106,3689,0.274,0.106,3689,0.274,0.106
6,Pneumonia,5684,0.145,0.321,5684,0.145,0.321,5684,0.145,0.321,5684,0.145,0.321,5684,0.145,0.321
7,Atelectasis,3068,0.287,0.097,3068,0.287,0.097,3068,0.287,0.097,3068,0.287,0.097,3068,0.287,0.097
8,Pneumothorax,6656,0.065,0.429,6656,0.065,0.429,6656,0.065,0.429,6656,0.065,0.429,6656,0.065,0.429
9,Pleural Effusion,3777,0.251,0.122,3777,0.251,0.122,3777,0.251,0.122,3777,0.251,0.122,3777,0.251,0.122
10,Pleural Other,6603,0.076,0.37,6603,0.076,0.37,6603,0.076,0.37,6603,0.076,0.37,6603,0.076,0.37
11,Fracture,5357,0.157,0.268,5357,0.157,0.268,5357,0.157,0.268,5357,0.157,0.268,5357,0.157,0.268
12,Support Devices,2935,0.257,0.06,2935,0.257,0.06,2935,0.257,0.06,2935,0.257,0.06,2935,0.257,0.06
13,No Finding,6526,0.046,0.271,6526,0.046,0.271,6526,0.046,0.271,6526,0.046,0.271,6526,0.046,0.271
