,diseases,#60-80,FPR_60-80,FNR_60-80,#40-60,FPR_40-60,FNR_40-60,#20-40,FPR_20-40,FNR_20-40,#80+,FPR_80+,FNR_80+,#0-20,FPR_0-20,FNR_0-20
0,Enlarged Cardiomediastinum,2417,0.333,0.079,2417,0.333,0.079,2417,0.333,0.079,2417,0.333,0.079,2417,0.333,0.079
1,Cardiomegaly,3189,0.396,0.068,3189,0.396,0.068,3189,0.396,0.068,3189,0.396,0.068,3189,0.396,0.068
2,Lung Opacity,2141,0.29,0.07,2141,0.29,0.07,2141,0.29,0.07,2141,0.29,0.07,2141,0.29,0.07
3,Lung Lesion,6444,0.099,0.423,6444,0.099,0.423,6444,0.099,0.423,6444,0.099,0.423,6444,0.099,0.423
4,Edema,4170,0.237,0.153,4170,0.237,0.153,4170,0.237,0.153,4170,0.237,0.153,4170,0.237,0.153
5,Consolidation,3689,0.263,0.13,3689,0.263,0.13,3689,0.263,0.13,3689,0.263,0.13,3689,0.263,0.13
6,Pneumonia,5684,0.184,0.31,5684,0.184,0.31,5684,0.184,0.31,5684,0.184,0.31,5684,0.184,0.31
7,Atelectasis,3068,0.325,0.08,3068,0.325,0.08,3068,0.325,0.08,3068,0.325,0.08,3068,0.325,0.08
8,Pneumothorax,6656,0.085,0.429,6656,0.085,0.429,6656,0.085,0.429,6656,0.085,0.429,6656,0.085,0.429
9,Pleural Effusion,3777,0.282,0.12,3777,0.282,0.12,3777,0.282,0.12,3777,0.282,0.12,3777,0.282,0.12
10,Pleural Other,6603,0.095,0.371,6603,0.095,0.371,6603,0.095,0.371,6603,0.095,0.371,6603,0.095,0.371
11,Fracture,5357,0.172,0.279,5357,0.172,0.279,5357,0.172,0.279,5357,0.172,0.279,5357,0.172,0.279
12,Support Devices,2935,0.253,0.087,2935,0.253,0.087,2935,0.253,0.087,2935,0.253,0.087,2935,0.253,0.087
13,No Finding,6526,0.064,0.238,6526,0.064,0.238,6526,0.064,0.238,6526,0.064,0.238,6526,0.064,0.238
