,diseases,#White,FPR_White,FNR_White,#Black,FPR_Black,FNR_Black,#Hisp,FPR_Hisp,FNR_Hisp,#Other,FPR_Other,FNR_Other,#Asian,FPR_Asian,FNR_Asian,#American,FPR_American,FNR_American
0,Enlarged Cardiomediastinum,18399,0.073,0.142,18399,0.073,0.142,18399,0.073,0.142,18399,0.073,0.142,18399,0.073,0.142,18399,0.073,0.142
1,Cardiomegaly,17245,0.222,0.207,17245,0.222,0.207,17245,0.222,0.207,17245,0.222,0.207,17245,0.222,0.207,17245,0.222,0.207
2,Lung Opacity,15058,0.166,0.242,15058,0.166,0.242,15058,0.166,0.242,15058,0.166,0.242,15058,0.166,0.242,15058,0.166,0.242
3,Lung Lesion,24823,0.041,0.545,24823,0.041,0.545,24823,0.041,0.545,24823,0.041,0.545,24823,0.041,0.545,24823,0.041,0.545
4,Edema,19793,0.133,0.245,19793,0.133,0.245,19793,0.133,0.245,19793,0.133,0.245,19793,0.133,0.245,19793,0.133,0.245
5,Consolidation,20245,0.078,0.221,20245,0.078,0.221,20245,0.078,0.221,20245,0.078,0.221,20245,0.078,0.221,20245,0.078,0.221
6,Pneumonia,22949,0.087,0.474,22949,0.087,0.474,22949,0.087,0.474,22949,0.087,0.474,22949,0.087,0.474,22949,0.087,0.474
7,Atelectasis,16741,0.182,0.235,16741,0.182,0.235,16741,0.182,0.235,16741,0.182,0.235,16741,0.182,0.235,16741,0.182,0.235
8,Pneumothorax,24765,0.044,0.548,24765,0.044,0.548,24765,0.044,0.548,24765,0.044,0.548,24765,0.044,0.548,24765,0.044,0.548
9,Pleural Effusion,17191,0.182,0.178,17191,0.182,0.178,17191,0.182,0.178,17191,0.182,0.178,17191,0.182,0.178,17191,0.182,0.178
10,Pleural Other,25409,0.038,0.47,25409,0.038,0.47,25409,0.038,0.47,25409,0.038,0.47,25409,0.038,0.47,25409,0.038,0.47
11,Fracture,23145,0.062,0.363,23145,0.062,0.363,23145,0.062,0.363,23145,0.062,0.363,23145,0.062,0.363,23145,0.062,0.363
12,Support Devices,14693,0.189,0.148,14693,0.189,0.148,14693,0.189,0.148,14693,0.189,0.148,14693,0.189,0.148,14693,0.189,0.148
13,No Finding,20900,0.122,0.271,20900,0.122,0.271,20900,0.122,0.271,20900,0.122,0.271,20900,0.122,0.271,20900,0.122,0.271
