,diseases,#60-80,FPR_60-80,FNR_60-80,#40-60,FPR_40-60,FNR_40-60,#20-40,FPR_20-40,FNR_20-40,#80+,FPR_80+,FNR_80+,#0-20,FPR_0-20,FNR_0-20
0,Enlarged Cardiomediastinum,2417,0.302,0.081,2417,0.302,0.081,2417,0.302,0.081,2417,0.302,0.081,2417,0.302,0.081
1,Cardiomegaly,3189,0.34,0.076,3189,0.34,0.076,3189,0.34,0.076,3189,0.34,0.076,3189,0.34,0.076
2,Lung Opacity,2141,0.319,0.057,2141,0.319,0.057,2141,0.319,0.057,2141,0.319,0.057,2141,0.319,0.057
3,Lung Lesion,6444,0.11,0.349,6444,0.11,0.349,6444,0.11,0.349,6444,0.11,0.349,6444,0.11,0.349
4,Edema,4170,0.225,0.15,4170,0.225,0.15,4170,0.225,0.15,4170,0.225,0.15,4170,0.225,0.15
5,Consolidation,3689,0.272,0.107,3689,0.272,0.107,3689,0.272,0.107,3689,0.272,0.107,3689,0.272,0.107
6,Pneumonia,5684,0.169,0.289,5684,0.169,0.289,5684,0.169,0.289,5684,0.169,0.289,5684,0.169,0.289
7,Atelectasis,3068,0.312,0.084,3068,0.312,0.084,3068,0.312,0.084,3068,0.312,0.084,3068,0.312,0.084
8,Pneumothorax,6656,0.072,0.41,6656,0.072,0.41,6656,0.072,0.41,6656,0.072,0.41,6656,0.072,0.41
9,Pleural Effusion,3777,0.264,0.107,3777,0.264,0.107,3777,0.264,0.107,3777,0.264,0.107,3777,0.264,0.107
10,Pleural Other,6603,0.071,0.377,6603,0.071,0.377,6603,0.071,0.377,6603,0.071,0.377,6603,0.071,0.377
11,Fracture,5357,0.125,0.282,5357,0.125,0.282,5357,0.125,0.282,5357,0.125,0.282,5357,0.125,0.282
12,Support Devices,2935,0.274,0.05,2935,0.274,0.05,2935,0.274,0.05,2935,0.274,0.05,2935,0.274,0.05
13,No Finding,6526,0.062,0.236,6526,0.062,0.236,6526,0.062,0.236,6526,0.062,0.236,6526,0.062,0.236
