,diseases,#White,FPR_White,FNR_White,#Black,FPR_Black,FNR_Black,#Hisp,FPR_Hisp,FNR_Hisp,#Other,FPR_Other,FNR_Other,#Asian,FPR_Asian,FNR_Asian,#American,FPR_American,FNR_American
0,Enlarged Cardiomediastinum,18399,0.061,0.156,18399,0.061,0.156,18399,0.061,0.156,18399,0.061,0.156,18399,0.061,0.156,18399,0.061,0.156
1,Cardiomegaly,17245,0.166,0.251,17245,0.166,0.251,17245,0.166,0.251,17245,0.166,0.251,17245,0.166,0.251,17245,0.166,0.251
2,Lung Opacity,15058,0.159,0.231,15058,0.159,0.231,15058,0.159,0.231,15058,0.159,0.231,15058,0.159,0.231,15058,0.159,0.231
3,Lung Lesion,24823,0.04,0.492,24823,0.04,0.492,24823,0.04,0.492,24823,0.04,0.492,24823,0.04,0.492,24823,0.04,0.492
4,Edema,19793,0.118,0.264,19793,0.118,0.264,19793,0.118,0.264,19793,0.118,0.264,19793,0.118,0.264,19793,0.118,0.264
5,Consolidation,20245,0.08,0.207,20245,0.08,0.207,20245,0.08,0.207,20245,0.08,0.207,20245,0.08,0.207,20245,0.08,0.207
6,Pneumonia,22949,0.071,0.486,22949,0.071,0.486,22949,0.071,0.486,22949,0.071,0.486,22949,0.071,0.486,22949,0.071,0.486
7,Atelectasis,16741,0.162,0.245,16741,0.162,0.245,16741,0.162,0.245,16741,0.162,0.245,16741,0.162,0.245,16741,0.162,0.245
8,Pneumothorax,24765,0.039,0.47,24765,0.039,0.47,24765,0.039,0.47,24765,0.039,0.47,24765,0.039,0.47,24765,0.039,0.47
9,Pleural Effusion,17191,0.171,0.164,17191,0.171,0.164,17191,0.171,0.164,17191,0.171,0.164,17191,0.171,0.164,17191,0.171,0.164
10,Pleural Other,25409,0.033,0.456,25409,0.033,0.456,25409,0.033,0.456,25409,0.033,0.456,25409,0.033,0.456,25409,0.033,0.456
11,Fracture,23145,0.06,0.345,23145,0.06,0.345,23145,0.06,0.345,23145,0.06,0.345,23145,0.06,0.345,23145,0.06,0.345
12,Support Devices,14693,0.186,0.111,14693,0.186,0.111,14693,0.186,0.111,14693,0.186,0.111,14693,0.186,0.111,14693,0.186,0.111
13,No Finding,20900,0.111,0.254,20900,0.111,0.254,20900,0.111,0.254,20900,0.111,0.254,20900,0.111,0.254,20900,0.111,0.254
