,diseases,#60-80,FPR_60-80,FNR_60-80,#40-60,FPR_40-60,FNR_40-60,#20-40,FPR_20-40,FNR_20-40,#80+,FPR_80+,FNR_80+,#0-20,FPR_0-20,FNR_0-20
0,Enlarged Cardiomediastinum,2417,0.271,0.096,2417,0.271,0.096,2417,0.271,0.096,2417,0.271,0.096,2417,0.271,0.096
1,Cardiomegaly,3189,0.348,0.08,3189,0.348,0.08,3189,0.348,0.08,3189,0.348,0.08,3189,0.348,0.08
2,Lung Opacity,2141,0.32,0.051,2141,0.32,0.051,2141,0.32,0.051,2141,0.32,0.051,2141,0.32,0.051
3,Lung Lesion,6444,0.097,0.389,6444,0.097,0.389,6444,0.097,0.389,6444,0.097,0.389,6444,0.097,0.389
4,Edema,4170,0.237,0.141,4170,0.237,0.141,4170,0.237,0.141,4170,0.237,0.141,4170,0.237,0.141
5,Consolidation,3689,0.262,0.109,3689,0.262,0.109,3689,0.262,0.109,3689,0.262,0.109,3689,0.262,0.109
6,Pneumonia,5684,0.159,0.306,5684,0.159,0.306,5684,0.159,0.306,5684,0.159,0.306,5684,0.159,0.306
7,Atelectasis,3068,0.296,0.084,3068,0.296,0.084,3068,0.296,0.084,3068,0.296,0.084,3068,0.296,0.084
8,Pneumothorax,6656,0.09,0.377,6656,0.09,0.377,6656,0.09,0.377,6656,0.09,0.377,6656,0.09,0.377
9,Pleural Effusion,3777,0.222,0.134,3777,0.222,0.134,3777,0.222,0.134,3777,0.222,0.134,3777,0.222,0.134
10,Pleural Other,6603,0.094,0.32,6603,0.094,0.32,6603,0.094,0.32,6603,0.094,0.32,6603,0.094,0.32
11,Fracture,5357,0.144,0.27,5357,0.144,0.27,5357,0.144,0.27,5357,0.144,0.27,5357,0.144,0.27
12,Support Devices,2935,0.24,0.058,2935,0.24,0.058,2935,0.24,0.058,2935,0.24,0.058,2935,0.24,0.058
13,No Finding,6526,0.055,0.232,6526,0.055,0.232,6526,0.055,0.232,6526,0.055,0.232,6526,0.055,0.232
