,diseases,#M,FPR_M,FNR_M,#F,FPR_F,FNR_F
0,Enlarged Cardiomediastinum,15560,0.059,0.148,15560,0.059,0.148
1,Cardiomegaly,14524,0.178,0.219,14524,0.178,0.219
2,Lung Opacity,12811,0.157,0.212,12811,0.157,0.212
3,Lung Lesion,21425,0.043,0.476,21425,0.043,0.476
4,Edema,17003,0.135,0.214,17003,0.135,0.214
5,Consolidation,17359,0.084,0.21,17359,0.084,0.21
6,Pneumonia,19696,0.071,0.464,19696,0.071,0.464
7,Atelectasis,14310,0.198,0.201,14310,0.198,0.201
8,Pneumothorax,21537,0.05,0.456,21537,0.05,0.456
9,Pleural Effusion,14967,0.176,0.158,14967,0.176,0.158
10,Pleural Other,21842,0.041,0.383,21842,0.041,0.383
11,Fracture,19960,0.058,0.336,19960,0.058,0.336
12,Support Devices,12440,0.186,0.107,12440,0.186,0.107
13,No Finding,18025,0.115,0.234,18025,0.115,0.234
