,diseases,#M,FPR_M,FNR_M,#F,FPR_F,FNR_F
0,Enlarged Cardiomediastinum,15560,0.068,0.13,15560,0.068,0.13
1,Cardiomegaly,14524,0.204,0.195,14524,0.204,0.195
2,Lung Opacity,12811,0.178,0.196,12811,0.178,0.196
3,Lung Lesion,21425,0.036,0.476,21425,0.036,0.476
4,Edema,17003,0.123,0.243,17003,0.123,0.243
5,Consolidation,17359,0.078,0.221,17359,0.078,0.221
6,Pneumonia,19696,0.082,0.437,19696,0.082,0.437
7,Atelectasis,14310,0.199,0.192,14310,0.199,0.192
8,Pneumothorax,21537,0.037,0.488,21537,0.037,0.488
9,Pleural Effusion,14967,0.172,0.158,14967,0.172,0.158
10,Pleural Other,21842,0.034,0.426,21842,0.034,0.426
11,Fracture,19960,0.066,0.304,19960,0.066,0.304
12,Support Devices,12440,0.189,0.105,12440,0.189,0.105
13,No Finding,18025,0.099,0.265,18025,0.099,0.265
